variant,dataset,repeat,num_workers,batch_size,device,stage,calls,ms_per_call,pct
persistent,qm9,0,0,8,cuda,transforms,78,6.53,18.3
persistent,qm9,0,0,8,cuda,unpack,60,1.11,2.4
persistent,carbon,0,0,8,cuda,backward,60,12.7,29.4
persistent,carbon,0,0,8,cuda,forward,60,9.4,21.8
persistent,carbon,0,0,8,cuda,group_and_join,78,1.5,4.5
persistent,carbon,0,0,8,cuda,h2d,60,2.01,4.7
persistent,carbon,0,0,8,cuda,loader,60,11.85,27.5
persistent,carbon,0,0,8,cuda,loss,60,1.67,3.9
persistent,carbon,0,0,8,cuda,optimizer,60,1.98,4.6
persistent,carbon,0,0,8,cuda,serialize,78,2.11,6.4
persistent,carbon,0,0,8,cuda,step,60,31.29,72.5
persistent,carbon,0,0,8,cuda,transforms,78,6.54,19.7
persistent,carbon,0,0,8,cuda,unpack,60,1.27,2.9
persistent,carbon,0,0,8,cuda,backward,60,12.47,28.8
persistent,carbon,0,0,8,cuda,forward,60,9.33,21.6
persistent,carbon,0,0,8,cuda,group_and_join,78,1.52,4.6
persistent,carbon,0,0,8,cuda,h2d,60,2.03,4.7
persistent,carbon,0,0,8,cuda,loader,60,11.86,27.4
persistent,carbon,0,0,8,cuda,loss,60,1.71,4.0
persistent,carbon,0,0,8,cuda,optimizer,60,2.12,4.9
persistent,carbon,0,0,8,cuda,serialize,78,2.06,6.2
persistent,carbon,0,0,8,cuda,step,60,31.38,72.6
persistent,carbon,0,0,8,cuda,transforms,78,6.62,19.9
persistent,carbon,0,0,8,cuda,unpack,60,1.29,3.0
persistent,carbon,0,0,8,cuda,backward,60,10.49,25.2
persistent,carbon,0,0,8,cuda,forward,60,9.46,22.8
persistent,carbon,0,0,8,cuda,group_and_join,78,1.51,4.7
persistent,carbon,0,0,8,cuda,h2d,60,2.01,4.8
persistent,carbon,0,0,8,cuda,loader,60,11.96,28.8
persistent,carbon,0,0,8,cuda,loss,60,1.84,4.4
persistent,carbon,0,0,8,cuda,optimizer,60,2.09,5.0
persistent,carbon,0,0,8,cuda,serialize,78,2.07,6.5
persistent,carbon,0,0,8,cuda,step,60,29.63,71.2
persistent,carbon,0,0,8,cuda,transforms,78,6.68,20.9
persistent,carbon,0,0,8,cuda,unpack,60,1.28,3.1
persistent,si216,0,0,8,cuda,backward,36,40.13,37.4
persistent,si216,0,0,8,cuda,forward,36,22.0,20.5
persistent,si216,0,0,8,cuda,group_and_join,48,2.12,2.6
persistent,si216,0,0,8,cuda,h2d,36,2.19,2.0
persistent,si216,0,0,8,cuda,loader,36,27.16,25.3
persistent,si216,0,0,8,cuda,loss,36,2.35,2.2
persistent,si216,0,0,8,cuda,optimizer,36,3.13,2.9
persistent,si216,0,0,8,cuda,serialize,48,9.9,12.3
persistent,si216,0,0,8,cuda,step,36,80.1,74.7
persistent,si216,0,0,8,cuda,transforms,48,11.79,14.7
persistent,si216,0,0,8,cuda,unpack,36,7.87,7.3
persistent,si216,0,0,8,cuda,backward,36,41.0,38.0
persistent,si216,0,0,8,cuda,forward,36,21.81,20.2
persistent,si216,0,0,8,cuda,group_and_join,48,2.13,2.6
persistent,si216,0,0,8,cuda,h2d,36,2.18,2.0
persistent,si216,0,0,8,cuda,loader,36,28.11,26.1
persistent,si216,0,0,8,cuda,loss,36,2.14,2.0
persistent,si216,0,0,8,cuda,optimizer,36,2.34,2.2
persistent,si216,0,0,8,cuda,serialize,48,10.37,12.8
persistent,si216,0,0,8,cuda,step,36,79.75,73.9
persistent,si216,0,0,8,cuda,transforms,48,11.77,14.6
persistent,si216,0,0,8,cuda,unpack,36,7.86,7.3
persistent,si216,0,0,8,cuda,backward,36,40.77,37.8
persistent,si216,0,0,8,cuda,forward,36,21.92,20.3
persistent,si216,0,0,8,cuda,group_and_join,48,2.15,2.7
persistent,si216,0,0,8,cuda,h2d,36,2.21,2.0
persistent,si216,0,0,8,cuda,loader,36,28.01,26.0
persistent,si216,0,0,8,cuda,loss,36,2.27,2.1
persistent,si216,0,0,8,cuda,optimizer,36,2.54,2.4
persistent,si216,0,0,8,cuda,serialize,48,10.13,12.5
persistent,si216,0,0,8,cuda,step,36,79.91,74.0
persistent,si216,0,0,8,cuda,transforms,48,12.18,15.0
persistent,si216,0,0,8,cuda,unpack,36,7.81,7.2
persistent,si_large,0,0,8,cuda,backward,72,175.59,47.4
persistent,si_large,0,0,8,cuda,forward,72,78.07,21.1
persistent,si_large,0,0,8,cuda,group_and_join,96,1.38,0.5
persistent,si_large,0,0,8,cuda,h2d,72,2.73,0.7
persistent,si_large,0,0,8,cuda,loader,72,74.75,20.2
persistent,si_large,0,0,8,cuda,loss,72,1.53,0.4
persistent,si_large,0,0,8,cuda,optimizer,72,2.11,0.6
persistent,si_large,0,0,8,cuda,serialize,96,37.03,13.3
persistent,si_large,0,0,8,cuda,step,72,295.9,79.8
persistent,si_large,0,0,8,cuda,transforms,96,28.46,10.2
persistent,si_large,0,0,8,cuda,unpack,72,33.12,8.9
persistent,si_large,0,0,8,cuda,backward,72,175.51,47.3
persistent,si_large,0,0,8,cuda,forward,72,78.33,21.1
persistent,si_large,0,0,8,cuda,group_and_join,96,1.37,0.5
persistent,si_large,0,0,8,cuda,h2d,72,2.74,0.7
persistent,si_large,0,0,8,cuda,loader,72,74.99,20.2
persistent,si_large,0,0,8,cuda,loss,72,1.59,0.4
persistent,si_large,0,0,8,cuda,optimizer,72,2.1,0.6
persistent,si_large,0,0,8,cuda,serialize,96,37.22,13.4
persistent,si_large,0,0,8,cuda,step,72,296.08,79.8
persistent,si_large,0,0,8,cuda,transforms,96,28.51,10.2
persistent,si_large,0,0,8,cuda,unpack,72,33.06,8.9
persistent,si_large,0,0,8,cuda,backward,72,175.58,47.6
persistent,si_large,0,0,8,cuda,forward,72,77.21,20.9
persistent,si_large,0,0,8,cuda,group_and_join,96,1.36,0.5
persistent,si_large,0,0,8,cuda,h2d,72,2.71,0.7
persistent,si_large,0,0,8,cuda,loader,72,74.92,20.3
persistent,si_large,0,0,8,cuda,loss,72,1.49,0.4
persistent,si_large,0,0,8,cuda,optimizer,72,1.71,0.5
persistent,si_large,0,0,8,cuda,serialize,96,37.27,13.5
persistent,si_large,0,0,8,cuda,step,72,294.23,79.7
persistent,si_large,0,0,8,cuda,transforms,96,28.53,10.3
persistent,si_large,0,0,8,cuda,unpack,72,32.96,8.9
