variant,dataset,repeat,num_workers,batch_size,device,epochs,seed,host,gpu,torch,n_train,n_val,best_val_metric,best_model_metric,best_epoch,epoch1_train_loss,epoch1_val_loss,wall_s,peak_gb,added_gb,baseline_gb,atoms_per_s,structures_per_s,loader_ms,step_ms,unpack_ms,h2d_ms,serialize_ms,group_and_join_ms,transforms_ms,started,finished
pinned,si_large,0,0,8,cuda,6,2,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,102,26,9.2e-05,mae_prod,4,18.390526,8.76493,33.0,1.82,1.17,0.64,20676.4,20.7,87.21,299.7,37.63,2.77,44.29,1.39,29.03,2026-09-22T07:56:45+00:00,2026-09-22T07:57:21+00:00
transport,qm9,0,0,8,cuda,6,0,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,80,20,0.0012,mae_prod,1,9.691435,2.348874,4.8,1.75,1.12,0.63,1683.5,179.3,10.29,34.32,1.2,2.09,0.41,1.51,6.81,2026-09-22T08:12:16+00:00,2026-09-22T08:12:24+00:00
transport,qm9,0,0,8,cuda,6,1,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,80,20,0.001495,mae_prod,2,10.045946,1.718918,4.6,1.75,1.12,0.63,1792.6,191.0,9.94,31.96,1.18,2.03,0.43,1.5,6.51,2026-09-22T08:14:35+00:00,2026-09-22T08:14:42+00:00
transport,qm9,0,0,8,cuda,6,2,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,80,20,0.001431,mae_prod,2,11.72717,1.014143,4.5,1.75,1.12,0.63,1882.5,200.5,10.14,29.76,1.2,2.05,0.41,1.5,6.61,2026-09-22T08:13:02+00:00,2026-09-22T08:13:10+00:00
transport,carbon,0,0,8,cuda,6,0,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,80,20,0.133207,mae_prod,2,124.630446,25.216593,4.7,1.76,1.13,0.63,758.8,189.7,10.63,31.55,1.22,1.99,0.41,1.88,6.61,2026-09-22T08:14:19+00:00,2026-09-22T08:14:27+00:00
transport,carbon,0,0,8,cuda,6,1,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,80,20,0.165395,mae_prod,4,157.832732,36.078711,4.5,1.77,1.14,0.63,823.3,205.8,10.7,28.17,1.24,1.98,0.42,1.84,6.69,2026-09-22T08:13:41+00:00,2026-09-22T08:13:49+00:00
transport,carbon,0,0,8,cuda,6,2,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,80,20,0.130483,mae_prod,1,33.143173,3.174952,4.5,1.76,1.13,0.63,814.6,203.7,10.1,29.19,1.23,2.01,0.41,1.56,6.54,2026-09-22T08:14:05+00:00,2026-09-22T08:14:12+00:00
transport,si216,0,0,8,cuda,6,0,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,51,13,0.000364,mae_prod,1,11.666913,5.808161,5.5,1.74,1.11,0.63,18458.4,85.5,18.48,75.13,2.23,2.16,1.15,2.13,12.07,2026-09-22T08:15:23+00:00,2026-09-22T08:15:32+00:00
transport,si216,0,0,8,cuda,6,1,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,51,13,0.000363,mae_prod,1,20.820798,3.433699,5.6,1.77,1.14,0.63,18568.0,86.0,17.67,75.4,2.23,2.16,0.59,2.18,11.84,2026-09-22T08:11:57+00:00,2026-09-22T08:12:06+00:00
transport,si216,0,0,8,cuda,6,2,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,51,13,0.000367,mae_prod,0,9.618083,2.667258,5.4,1.76,1.13,0.63,18599.8,86.1,17.57,75.34,2.19,2.16,0.58,2.1,11.88,2026-09-22T08:12:07+00:00,2026-09-22T08:12:15+00:00
transport,si_large,0,0,8,cuda,6,0,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,102,26,9.2e-05,mae_prod,5,22.935663,6.984008,25.9,1.79,1.14,0.64,26093.1,26.1,38.84,267.75,6.28,2.66,1.73,1.35,29.55,2026-09-22T08:12:25+00:00,2026-09-22T08:12:54+00:00
transport,si_large,0,0,8,cuda,6,1,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,102,26,9.2e-05,mae_prod,5,30.29335,7.619515,26.1,1.79,1.15,0.64,26041.8,26.0,38.63,268.57,6.31,2.7,2.21,1.38,29.01,2026-09-22T08:14:53+00:00,2026-09-22T08:15:22+00:00
transport,si_large,0,0,8,cuda,6,2,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,102,26,9.2e-05,mae_prod,4,18.390527,8.764928,26.0,1.79,1.15,0.64,26116.1,26.1,38.58,267.75,6.39,2.71,1.92,1.38,29.1,2026-09-22T08:13:11+00:00,2026-09-22T08:13:40+00:00
everything,qm9,0,0,8,cuda,6,0,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,80,20,0.0012,mae_prod,1,9.691435,2.348874,4.7,1.75,1.12,0.63,1703.1,181.4,10.57,33.52,1.2,2.06,0.45,1.51,6.92,2026-09-22T08:19:22+00:00,2026-09-22T08:19:30+00:00
everything,qm9,0,0,8,cuda,6,1,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,80,20,0.001495,mae_prod,2,10.045946,1.718918,4.7,1.75,1.12,0.63,1764.6,188.0,10.76,31.8,1.18,2.07,0.42,1.82,6.78,2026-09-22T08:18:20+00:00,2026-09-22T08:18:27+00:00
everything,qm9,0,0,8,cuda,6,2,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,80,20,0.001431,mae_prod,2,11.72717,1.014143,4.7,1.75,1.12,0.63,1751.1,186.5,10.27,32.62,1.18,2.07,0.47,1.51,6.7,2026-09-22T08:18:35+00:00,2026-09-22T08:18:43+00:00
everything,carbon,0,0,8,cuda,6,0,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,80,20,0.133207,mae_prod,2,124.630446,25.216593,4.7,1.76,1.13,0.63,760.7,190.2,10.49,31.58,1.22,2.01,0.48,1.53,6.78,2026-09-22T08:16:57+00:00,2026-09-22T08:17:04+00:00
everything,carbon,0,0,8,cuda,6,1,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,80,20,0.165395,mae_prod,4,157.832732,36.078711,4.7,1.76,1.13,0.63,772.9,193.2,10.37,31.03,1.23,1.98,0.41,1.5,6.78,2026-09-22T08:17:42+00:00,2026-09-22T08:17:50+00:00
everything,carbon,0,0,8,cuda,6,2,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,80,20,0.130483,mae_prod,1,33.143173,3.174952,4.7,1.76,1.13,0.63,739.8,185.0,10.93,32.32,1.25,2.0,0.41,1.77,6.91,2026-09-22T08:20:22+00:00,2026-09-22T08:20:29+00:00
everything,si216,0,0,8,cuda,6,0,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,51,13,0.000364,mae_prod,1,11.666913,5.80816,5.5,1.76,1.13,0.63,18485.2,85.6,18.33,75.15,2.23,2.15,0.79,2.15,12.05,2026-09-22T08:17:51+00:00,2026-09-22T08:17:59+00:00
everything,si216,0,0,8,cuda,6,1,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,51,13,0.000363,mae_prod,1,20.820797,3.433699,5.4,1.75,1.11,0.63,18757.4,86.8,18.1,74.03,2.19,2.12,0.69,2.11,11.93,2026-09-22T08:19:31+00:00,2026-09-22T08:19:39+00:00
everything,si216,0,0,8,cuda,6,2,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,51,13,0.000367,mae_prod,0,9.618084,2.667258,5.4,1.74,1.11,0.63,18772.6,86.9,17.74,74.3,2.21,2.14,0.6,2.12,11.87,2026-09-22T08:18:10+00:00,2026-09-22T08:18:18+00:00
everything,si_large,0,0,8,cuda,6,0,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,102,26,9.2e-05,mae_prod,5,22.935662,6.984008,26.5,1.8,1.15,0.64,25397.8,25.4,46.71,268.28,6.41,2.48,3.54,1.36,32.35,2026-09-22T08:18:44+00:00,2026-09-22T08:19:14+00:00
everything,si_large,0,0,8,cuda,6,1,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,102,26,9.2e-05,mae_prod,5,30.293349,7.619514,26.7,1.8,1.15,0.64,25188.5,25.2,47.56,270.04,8.32,2.46,3.12,1.36,33.26,2026-09-22T08:19:40+00:00,2026-09-22T08:20:10+00:00
everything,si_large,0,0,8,cuda,6,2,cosmopc27,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu126,102,26,9.2e-05,mae_prod,4,18.390525,8.764927,26.6,1.79,1.15,0.64,25355.3,25.4,47.06,268.46,7.68,2.48,3.3,1.36,32.62,2026-09-22T08:17:11+00:00,2026-09-22T08:17:41+00:00
